starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 06 00:47:27 2024	1712353647	0	2	3	2
Sat Apr 06 00:47:27 2024	1712353647	1	2	3	2
Sat Apr 06 00:47:27 2024	1712353647	0	3	3	3
Sat Apr 06 00:47:27 2024	1712353647	1	3	3	2
Sat Apr 06 00:47:27 2024	1712353647	0	3	3	3
Sat Apr 06 00:47:27 2024	1712353647	0	3	3	3
Sat Apr 06 00:47:27 2024	1712353647	1	3	4	3
Sat Apr 06 00:47:27 2024	1712353647	1	3	4	3
Sat Apr 06 00:47:27 2024	1712353647	1	3	4	3
Sat Apr 06 00:47:27 2024	1712353647	0	3	4	3
Sat Apr 06 00:47:27 2024	1712353647	1	3	4	3
Sat Apr 06 00:47:27 2024	1712353647	1	3	4	3
Sat Apr 06 00:47:27 2024	1712353647	1	4	4	3
Sat Apr 06 00:47:27 2024	1712353647	1	4	4	4
Sat Apr 06 00:47:27 2024	1712353647	1	4	4	3
Sat Apr 06 00:47:27 2024	1712353647	0	4	4	4
Sat Apr 06 00:47:27 2024	1712353647	1	4	4	4
Sat Apr 06 00:47:27 2024	1712353647	1	3	4	3
Sat Apr 06 00:47:27 2024	1712353647	0	4	5	4
Sat Apr 06 00:47:27 2024	1712353647	1	4	5	4
Sat Apr 06 00:47:27 2024	1712353647	1	4	5	3
Sat Apr 06 00:47:27 2024	1712353647	1	4	5	4
Sat Apr 06 00:47:27 2024	1712353647	1	4	5	3
Sat Apr 06 00:47:27 2024	1712353647	1	4	5	4
Sat Apr 06 00:47:27 2024	1712353647	1	4	5	4
Sat Apr 06 00:47:27 2024	1712353647	1	4	5	4
Sat Apr 06 00:47:27 2024	1712353647	1	4	5	4
Sat Apr 06 00:47:27 2024	1712353647	1	4	5	4
Sat Apr 06 00:47:27 2024	1712353647	1	4	5	4
Sat Apr 06 00:47:27 2024	1712353647	1	4	5	4
Sat Apr 06 00:47:27 2024	1712353647	1	5	5	5
Sat Apr 06 00:47:27 2024	1712353647	0	5	5	5
Sat Apr 06 00:47:27 2024	1712353647	1	4	5	4
Sat Apr 06 00:47:27 2024	1712353647	1	4	5	4
Sat Apr 06 00:47:27 2024	1712353647	1	4	5	4
Sat Apr 06 00:47:27 2024	1712353647	1	4	5	4
Sat Apr 06 00:47:27 2024	1712353647	1	5	5	5
Sat Apr 06 00:47:27 2024	1712353647	1	5	5	5
Sat Apr 06 00:47:27 2024	1712353647	1	5	5	5
Sat Apr 06 00:47:27 2024	1712353647	1	4	5	4
Sat Apr 06 00:47:27 2024	1712353647	1	5	5	4
Sat Apr 06 00:47:27 2024	1712353647	0	5	5	5
Sat Apr 06 00:47:27 2024	1712353647	1	5	6	4
Sat Apr 06 00:47:27 2024	1712353647	1	5	6	5
Sat Apr 06 00:47:27 2024	1712353647	1	5	6	5
Sat Apr 06 00:47:27 2024	1712353647	1	5	6	5
Sat Apr 06 00:47:27 2024	1712353647	1	5	6	5
Sat Apr 06 00:47:27 2024	1712353647	1	5	6	5
Sat Apr 06 00:47:27 2024	1712353647	1	5	6	5
Sat Apr 06 00:47:27 2024	1712353647	1	5	6	5
Sat Apr 06 00:47:27 2024	1712353647	1	5	6	5
Sat Apr 06 00:47:27 2024	1712353647	0	5	6	5
Sat Apr 06 00:47:27 2024	1712353647	1	5	6	4
Sat Apr 06 00:47:27 2024	1712353647	1	5	6	5
Sat Apr 06 00:47:27 2024	1712353647	1	5	6	5
