starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 06 01:21:54 2024	1712355714	0	8	9	3
Sat Apr 06 01:21:55 2024	1712355715	1	11	12	11
Sat Apr 06 01:21:55 2024	1712355715	1	11	12	11
Sat Apr 06 01:21:55 2024	1712355715	2	11	12	11
Sat Apr 06 01:21:55 2024	1712355715	2	11	13	11
Sat Apr 06 01:21:54 2024	1712355714	6	7	13	7
Sat Apr 06 01:21:55 2024	1712355715	2	11	13	11
Sat Apr 06 01:21:55 2024	1712355715	2	11	14	11
Sat Apr 06 01:21:55 2024	1712355715	1	12	14	12
Sat Apr 06 01:21:54 2024	1712355714	6	8	14	8
Sat Apr 06 01:21:55 2024	1712355715	2	12	14	12
Sat Apr 06 01:21:55 2024	1712355715	3	11	14	11
Sat Apr 06 01:21:55 2024	1712355715	2	12	14	12
Sat Apr 06 01:21:55 2024	1712355715	2	12	14	12
Sat Apr 06 01:21:55 2024	1712355715	2	12	14	12
Sat Apr 06 01:21:55 2024	1712355715	2	13	14	12
Sat Apr 06 01:21:55 2024	1712355715	2	13	15	13
Sat Apr 06 01:21:55 2024	1712355715	2	13	15	13
Sat Apr 06 01:21:55 2024	1712355715	2	13	15	13
Sat Apr 06 01:21:55 2024	1712355715	2	13	15	13
Sat Apr 06 01:21:55 2024	1712355715	2	13	15	13
Sat Apr 06 01:21:55 2024	1712355715	2	13	15	13
Sat Apr 06 01:21:55 2024	1712355715	2	13	15	13
Sat Apr 06 01:21:55 2024	1712355715	2	13	15	12
Sat Apr 06 01:21:55 2024	1712355715	2	13	15	13
Sat Apr 06 01:21:55 2024	1712355715	2	13	15	13
Sat Apr 06 01:21:55 2024	1712355715	2	13	15	13
Sat Apr 06 01:21:55 2024	1712355715	2	13	15	13
Sat Apr 06 01:21:55 2024	1712355715	2	14	15	14
Sat Apr 06 01:21:55 2024	1712355715	3	13	15	13
Sat Apr 06 01:21:55 2024	1712355715	2	14	16	14
Sat Apr 06 01:21:54 2024	1712355714	6	10	16	10
Sat Apr 06 01:21:55 2024	1712355715	3	13	16	13
Sat Apr 06 01:21:55 2024	1712355715	0	15	16	15
Sat Apr 06 01:21:55 2024	1712355715	3	13	16	13
Sat Apr 06 01:21:55 2024	1712355715	2	14	16	14
Sat Apr 06 01:21:55 2024	1712355715	1	15	16	15
Sat Apr 06 01:21:55 2024	1712355715	3	13	16	13
Sat Apr 06 01:21:55 2024	1712355715	3	13	16	13
Sat Apr 06 01:21:55 2024	1712355715	1	16	17	16
Sat Apr 06 01:21:55 2024	1712355715	1	16	17	16
Sat Apr 06 01:21:55 2024	1712355715	0	16	17	16
Sat Apr 06 01:21:55 2024	1712355715	3	14	17	14
Sat Apr 06 01:21:55 2024	1712355715	2	14	17	14
Sat Apr 06 01:21:55 2024	1712355715	3	14	17	14
Sat Apr 06 01:21:55 2024	1712355715	2	16	17	15
Sat Apr 06 01:21:54 2024	1712355714	2	15	18	15
Sat Apr 06 01:21:54 2024	1712355714	2	15	18	15
Sat Apr 06 01:21:55 2024	1712355715	4	14	18	14
Sat Apr 06 01:21:55 2024	1712355715	2	16	18	16
Sat Apr 06 01:21:54 2024	1712355714	1	17	18	16
Sat Apr 06 01:21:55 2024	1712355715	4	14	18	12
Sat Apr 06 01:21:55 2024	1712355715	3	15	18	15
Sat Apr 06 01:21:55 2024	1712355715	4	14	18	13
Sat Apr 06 01:21:55 2024	1712355715	1	17	18	17
Sat Apr 06 01:21:54 2024	1712355714	6	12	18	12
Sat Apr 06 01:21:55 2024	1712355715	1	17	18	17
Sat Apr 06 01:21:55 2024	1712355715	2	16	18	16
Sat Apr 06 01:21:55 2024	1712355715	3	16	18	15
Sat Apr 06 01:21:55 2024	1712355715	1	17	18	16
Sat Apr 06 01:21:55 2024	1712355715	1	17	18	17
Sat Apr 06 01:21:54 2024	1712355714	1	18	18	17
Sat Apr 06 01:21:55 2024	1712355715	4	14	18	14
Sat Apr 06 01:21:55 2024	1712355715	4	14	19	12
Sat Apr 06 01:21:55 2024	1712355715	0	18	19	18
Sat Apr 06 01:21:55 2024	1712355715	0	18	19	18
Sat Apr 06 01:21:55 2024	1712355715	2	17	19	17
Sat Apr 06 01:21:55 2024	1712355715	1	18	19	17
Sat Apr 06 01:21:54 2024	1712355714	1	18	19	18
Sat Apr 06 01:21:55 2024	1712355715	2	17	19	15
Sat Apr 06 01:21:54 2024	1712355714	5	14	19	14
Sat Apr 06 01:21:55 2024	1712355715	1	19	19	18
Sat Apr 06 01:21:55 2024	1712355715	5	14	19	14
Sat Apr 06 01:21:55 2024	1712355715	1	18	19	18
Sat Apr 06 01:21:55 2024	1712355715	1	19	20	17
Sat Apr 06 01:21:55 2024	1712355715	0	19	20	19
Sat Apr 06 01:21:55 2024	1712355715	2	17	20	17
Sat Apr 06 01:21:55 2024	1712355715	0	19	20	19
Sat Apr 06 01:21:55 2024	1712355715	0	19	20	19
Sat Apr 06 01:21:55 2024	1712355715	1	19	20	17
Sat Apr 06 01:21:55 2024	1712355715	1	19	20	19
Sat Apr 06 01:21:55 2024	1712355715	2	18	20	18
Sat Apr 06 01:21:55 2024	1712355715	1	19	20	19
Sat Apr 06 01:21:55 2024	1712355715	1	19	20	19
Sat Apr 06 01:21:54 2024	1712355714	2	18	20	18
Sat Apr 06 01:21:54 2024	1712355714	6	15	20	15
Sat Apr 06 01:21:55 2024	1712355715	4	17	21	17
Sat Apr 06 01:21:55 2024	1712355715	0	20	21	20
Sat Apr 06 01:21:55 2024	1712355715	3	18	21	17
Sat Apr 06 01:21:55 2024	1712355715	0	21	21	20
Sat Apr 06 01:21:54 2024	1712355714	3	18	21	18
Sat Apr 06 01:21:55 2024	1712355715	0	21	21	21
Sat Apr 06 01:21:54 2024	1712355714	5	16	21	16
Sat Apr 06 01:21:55 2024	1712355715	1	20	22	20
Sat Apr 06 01:21:55 2024	1712355715	0	21	22	21
Sat Apr 06 01:21:55 2024	1712355715	2	19	22	19
Sat Apr 06 01:21:55 2024	1712355715	0	21	22	21
Sat Apr 06 01:21:55 2024	1712355715	2	19	22	18
Sat Apr 06 01:21:54 2024	1712355714	2	20	22	20
Sat Apr 06 01:21:55 2024	1712355715	2	20	22	20
Sat Apr 06 01:21:55 2024	1712355715	3	19	22	19
